ANO_ELEICAO,NM_UE,DS_CARGO,NM_CANDIDATO,SG_PARTIDO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA
2020,ABREU E LIMA,VEREADOR,EDCARLOS BOTELHO PEREIRA,DC,39,2,MASCULINO,PARDA,28533.15
2020,ARARIPINA,VEREADOR,JOSILDA LAURINDA DA SILVA PEREIRA,PSC,43,4,FEMININO,PARDA,40319.73
2020,ESCADA,VEREADOR,EDILSON TENORIO DA SILVA,CIDADANIA,43,2,MASCULINO,PRETA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,EURICO DA SILVA MOURA,PL,49,2,MASCULINO,BRANCA,138639.74
2020,SERRITA,VEREADOR,GALDINO CRUZ SAMPAIO,MDB,47,2,MASCULINO,BRANCA,12307.75
2020,SÃO VICENTE FÉRRER,VEREADOR,AURILENE LIMEIRA DE MOURA LIMA,PSB,58,4,FEMININO,BRANCA,12307.75
2020,PAUDALHO,VEREADOR,MARCIA CANDIDO DOS SANTOS LIMA,REPUBLICANOS,42,4,FEMININO,PARDA,17845.22
2020,CAMARAGIBE,VEREADOR,PAULO WILLTON PEREIRA DA SILVA,PT,40,2,MASCULINO,PRETA,24175.84
2020,JABOATÃO DOS GUARARAPES,VEREADOR,MARCIA ALVES DE OLIVEIRA SILVA,PTC,48,4,FEMININO,PARDA,138639.74
2020,OLINDA,VEREADOR,ROSELÂNIA ANDRADE DE SOUZA,REDE,47,4,FEMININO,BRANCA,105385.98
2020,ÁGUAS BELAS,VEREADOR,JOSÉ ERIVAN BENICIO DA SILVA,PT,45,2,MASCULINO,PARDA,48405.01
2020,PETROLÂNDIA,VEREADOR,JOANE BARBOSA PEREIRA DE ALENCAR BARROS,PTB,41,4,FEMININO,PARDA,12307.75
2020,LAGOA DO CARRO,VEREADOR,FELIPE GERALDO CLEMENTINO DA SILVA,PT,28,2,MASCULINO,PRETA,12307.75
2020,ALTINHO,VEREADOR,ANDERSON DA SILVA PEPEU,DEM,30,2,MASCULINO,PRETA,12307.75
2020,CABO DE SANTO AGOSTINHO,VEREADOR,ROMULO FERNANDO MENDES DOS ANJOS,PC do B,30,2,MASCULINO,BRANCA,109902.99
2020,MACAPARANA,VEREADOR,INALDA BARBOSA DA SILVA,PDT,30,4,FEMININO,BRANCA,12307.75
2020,CABO DE SANTO AGOSTINHO,VEREADOR,ANTONIO INÁCIO FRANCISCO,PSOL,41,2,MASCULINO,PRETA,109902.99
2020,GLÓRIA DO GOITÁ,VEREADOR,JHONATAN SANTOS DA SILVA,PODE,31,2,MASCULINO,PRETA,12307.75
2020,SOLIDÃO,VEREADOR,EDILEUZA RODRIGUES ALVES GODE,PODE,66,4,FEMININO,BRANCA,12307.75
2020,CAMUTANGA,VEREADOR,GRAZIELE ROCHA DAMASCENO,PTC,35,4,FEMININO,PARDA,12307.75
2020,GRAVATÁ,VEREADOR,KLEBER FRANCISCO DA SILVA,PL,37,2,MASCULINO,PARDA,134612.46
2020,PETROLINA,VEREADOR,MARCÍLIO GOMES DE MACEDO,PSOL,38,2,MASCULINO,BRANCA,131218.52
2020,TRINDADE,VEREADOR,MARIA ROSIMARY PINHEIRO DE BRITO,PT,42,4,FEMININO,PARDA,12307.75
2020,RECIFE,VEREADOR,ROBSON LEITE LINS JUNIOR,AVANTE,50,2,MASCULINO,PARDA,1011149.65
2020,ARARIPINA,VICE-PREFEITO,ALUIZIO COELHO DOS REIS FILHO,PSC,45,2,MASCULINO,PARDA,-1
2020,JOAQUIM NABUCO,VEREADOR,LUCIANO FRANÇA DE SOUZA,PSB,42,2,MASCULINO,PARDA,12307.75
2020,LAGOA DE ITAENGA,VEREADOR,JOSÉ MARCIO DA SILVA,PL,44,2,MASCULINO,PARDA,12307.75
2020,LAJEDO,VEREADOR,EVANDRO DE AZEVEDO FLORÊNCIO,PP,46,2,MASCULINO,PARDA,19050.54
2020,PETROLÂNDIA,VEREADOR,JORGE LINO VIANA,PSL,53,2,MASCULINO,BRANCA,12307.75
2020,IPOJUCA,VEREADOR,DAYSE APARECIDA JAQUES DE ASSIS,MDB,31,4,FEMININO,PARDA,106601.98
2020,CORTÊS,VEREADOR,VANDSON TENORIO DA SILVA,REPUBLICANOS,20,2,MASCULINO,PARDA,12307.75
2020,TRACUNHAÉM,VEREADOR,ANDRÉ VIEIRA SANTIAGO FILHO,AVANTE,61,2,MASCULINO,PARDA,12307.75
2020,TRINDADE,VEREADOR,GENILDA FREIRE DA SILVA,PSOL,40,4,FEMININO,PARDA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,GEDILSON TAVARES DE ALMEIDA,PDT,47,2,MASCULINO,PARDA,138639.74
2020,ABREU E LIMA,VEREADOR,CÍCERO ZEFERINO DE ANDRADE,PSL,54,2,MASCULINO,BRANCA,28533.15
2020,CAPOEIRAS,PREFEITO,LUIZ CLAUDINO DE SOUZA,PL,74,2,MASCULINO,PRETA,123077.42
2020,ÁGUA PRETA,VEREADOR,JAILSON JORGE LOPES DA SILVA,PSB,38,2,MASCULINO,PARDA,12307.75
2020,ITAQUITINGA,VEREADOR,AURELIANO COELHO DA SILVA,PP,31,2,MASCULINO,BRANCA,12307.75
2020,LAJEDO,VEREADOR,JOSE ZENILDO RODRIGUES,MDB,54,2,MASCULINO,PARDA,19050.54
2020,JABOATÃO DOS GUARARAPES,VEREADOR,SIMONE SANTIAGO DA SILVA,PL,45,4,FEMININO,PRETA,138639.74
2020,SERTÂNIA,PREFEITO,ÂNGELO RAFAEL FERREIRA DOS SANTOS,PSB,67,2,MASCULINO,BRANCA,276320.89
2020,ITAÍBA,VEREADOR,JACIR MILTON PEREIRA,PT,44,2,MASCULINO,BRANCA,12307.75
2020,ESCADA,VEREADOR,ANA MARIA DOS SANTOS,MDB,56,4,FEMININO,PRETA,12307.75
2020,TABIRA,VEREADOR,VALDEIR TOMÉ DA SILVA,PSB,58,2,MASCULINO,BRANCA,12307.75
2020,CABO DE SANTO AGOSTINHO,VEREADOR,DAVID WANDERSON ALVES DA SILVA,CIDADANIA,26,2,MASCULINO,PARDA,109902.99
2020,SÃO BENEDITO DO SUL,VEREADOR,EMANUELLE PRISCILLA BEZERRA DA SILVA,PP,23,4,FEMININO,BRANCA,12307.75
2020,SÃO BENTO DO UNA,VEREADOR,EVERALDO COSTA DA SILVA,MDB,43,2,MASCULINO,PARDA,17226.56
2020,MACAPARANA,VEREADOR,PEDRO DE MORAIS VIEIRA,PP,35,2,MASCULINO,BRANCA,12307.75
2020,CAMARAGIBE,VEREADOR,ELIANE ALVES DE BRITO,SOLIDARIEDADE,55,4,FEMININO,PARDA,24175.84
2020,TABIRA,VEREADOR,MARIA ROBERTA ARAUJO SOARES,REDE,35,4,FEMININO,BRANCA,12307.75
2020,CARUARU,VEREADOR,IVANILDO CAETANO ALVES IRMÃO,PSDB,51,2,MASCULINO,BRANCA,149376.8
2020,SIRINHAÉM,VEREADOR,IZAQUE ALUIZIO DA SILVA,PL,60,2,MASCULINO,PARDA,15268
2020,OLINDA,VEREADOR,RODRIGO RAMOS NEVES DA SILVA,REDE,37,2,MASCULINO,PRETA,105385.98
2020,SANHARÓ,VEREADOR,CARLOS ANTÔNIO SILVA DOS SANTOS,PT,30,2,MASCULINO,BRANCA,12307.75
2020,CASINHAS,VEREADOR,ANTÔNIO BARBOSA PEREIRA,DEM,46,2,MASCULINO,BRANCA,12307.75
2020,ARAÇOIABA,VEREADOR,ERISON SILVA PEREIRA,AVANTE,32,2,MASCULINO,PARDA,12307.75
2020,EXU,VEREADOR,JOÃO BARBOSA BEZERRA,PT,36,2,MASCULINO,SEM INFORMAÇÃO,12307.75
2020,OURICURI,VEREADOR,ELIAS DA SILVA PEREIRA,MDB,39,2,MASCULINO,PRETA,26120.37
2020,RECIFE,VEREADOR,FREDERICO BARRETO TENÓRIO AOUN,SOLIDARIEDADE,60,2,MASCULINO,PARDA,1011149.65
2020,BEZERROS,VEREADOR,JOÃO CARLOS BATISTA SANTOS,PC do B,30,2,MASCULINO,BRANCA,21247.87
2020,GARANHUNS,VEREADOR,RENATA DA SILVA LIMA,PP,33,4,FEMININO,BRANCA,25872.46
2020,PASSIRA,VEREADOR,RUBIANO ROBERTO BARBOSA DA SILVA,PSB,33,2,MASCULINO,BRANCA,12307.75
2020,PETROLINA,VEREADOR,JURANDIR PEREIRA DA SILVA,DEM,50,2,MASCULINO,PARDA,131218.52
2020,IPOJUCA,VEREADOR,ELI ROBERTO DA SILVA,PTB,39,2,MASCULINO,BRANCA,106601.98
2020,SÃO LOURENÇO DA MATA,VEREADOR,FRANCINEIDE DA SILVA SANTOS,PC do B,48,4,FEMININO,BRANCA,18021.21
2020,RECIFE,VEREADOR,AUGUSTO CESAR LIRA DA SILVA,PP,38,2,MASCULINO,PARDA,1011149.65
2020,SERTÂNIA,VEREADOR,SILVANA FERREIRA DE ARAÚJO,DEM,40,4,FEMININO,BRANCA,17749.22
2020,TABIRA,VEREADOR,MANOEL ALVES BATISTA,PT,55,2,MASCULINO,BRANCA,12307.75
2020,ESCADA,VEREADOR,EDUARDO CLAUDINO SILVA DE SOUSA PINTO,PDT,43,2,MASCULINO,PARDA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,CRISTIANE KARLA ALVES DE MELO,AVANTE,40,4,FEMININO,BRANCA,138639.74
2020,CABO DE SANTO AGOSTINHO,VEREADOR,REGINALDO JOSÉ DA SILVA,PSL,42,2,MASCULINO,BRANCA,109902.99
2020,PETROLÂNDIA,VEREADOR,JOSE ANTONIO ANDRADE  SOUZA,SOLIDARIEDADE,46,2,MASCULINO,BRANCA,12307.75
2020,ALTINHO,VEREADOR,JOSÉ VANILSON DE MELO,PSB,53,2,MASCULINO,PARDA,12307.75
2020,JABOATÃO DOS GUARARAPES,VEREADOR,CLEITON JULIO FERREIRA,CIDADANIA,34,2,MASCULINO,PARDA,138639.74
2020,BOM CONSELHO,VEREADOR,KAETY RHAIANY SOARES FERREIRA,PT,25,4,FEMININO,PARDA,25615.01
2020,PASSIRA,VEREADOR,JOSÉ TIAGO DE OLIVEIRA,PSB,35,2,MASCULINO,BRANCA,12307.75
2020,CAPOEIRAS,VEREADOR,MARIA IRENE SILVA DE SENA,PSB,54,4,FEMININO,PARDA,12307.75
2020,GARANHUNS,VEREADOR,BRUNO LUIS TAVEIRA CAVALCANTE,CIDADANIA,31,2,MASCULINO,PARDA,25872.46
2020,PETROLÂNDIA,VEREADOR,RITA EUDÓCIA DOS SANTOS,PODE,45,4,FEMININO,PARDA,12307.75
2020,BEZERROS,VEREADOR,ADEMIR CAMPOS DE ARAGAO,PT,60,2,MASCULINO,BRANCA,21247.87
2020,RECIFE,VEREADOR,INALDO GERSON PEREIRA FREIRES,CIDADANIA,49,2,MASCULINO,PRETA,1011149.65
2020,CAMARAGIBE,VEREADOR,BRUNO MARCOS TOSCANO DE ALBUQUERQUE,PSB,41,2,MASCULINO,BRANCA,24175.84
2020,SANTA CRUZ DO CAPIBARIBE,VEREADOR,PAULO BEZERRA DE ARAUJO,PSL,54,2,MASCULINO,PARDA,43192.26
2020,CARNAÍBA,VEREADOR,MARILENE GALDINO DE ALMEIDA,PT,59,4,FEMININO,BRANCA,12307.75
2020,SÃO CAITANO,VEREADOR,MARIA IVANILDA DA CONCEIÇÃO,REPUBLICANOS,53,4,FEMININO,PARDA,41468.76
2020,BELÉM DE MARIA,VEREADOR,JESSÉ VELOSO DE CARVALHO,PSB,60,2,MASCULINO,PARDA,12307.75
2020,CATENDE,VEREADOR,MARIA DE FATIMA SILVA CAMPOS,AVANTE,54,4,FEMININO,BRANCA,24617.75
2020,VITÓRIA DE SANTO ANTÃO,VEREADOR,MARIA JOSÉ DA SILVA LUZ,PP,52,4,FEMININO,BRANCA,35930.43
2020,BUENOS AIRES,VEREADOR,MARIA LADJANE DE LIMA DA SILVA,PSD,54,4,FEMININO,PARDA,12307.75
2020,SÃO CAITANO,VEREADOR,ESMERALDO SANTINO DA SILVA,REPUBLICANOS,34,2,MASCULINO,PARDA,41468.76
2020,CUPIRA,VEREADOR,MACIEL LIRA DA SILVA,PSC,39,2,MASCULINO,PRETA,17973.22
2020,SALGUEIRO,VEREADOR,ESMAEL NICOLAU DA CRUZ,PL,35,2,MASCULINO,BRANCA,30058.47
2020,PEDRA,VEREADOR,RENALDO BISPO BEZERRA,PT,53,2,MASCULINO,BRANCA,12307.75
2020,LIMOEIRO,VICE-PREFEITO,LUIS ROBERTO DE ARRUDA BUREGIO,PSB,30,2,MASCULINO,BRANCA,-1
2020,GRAVATÁ,VEREADOR,DAGOBERTO AFONSO FERREIRA,PL,60,2,MASCULINO,BRANCA,134612.46
2020,RIBEIRÃO,VEREADOR,GILKA TALITA SILVA,PSL,30,4,FEMININO,PARDA,12307.75
2020,IPOJUCA,VEREADOR,CICERO JOSE DA SILVA,PP,50,2,MASCULINO,PRETA,106601.98
2020,CABO DE SANTO AGOSTINHO,VICE-PREFEITO,DÉBORA TAMIRES GOMES DE SALES,PCO,21,4,FEMININO,BRANCA,-1
2020,GRAVATÁ,VEREADOR,ANDREIA TEREZA CONEGUNDES MARINHO,PSL,45,4,FEMININO,PARDA,134612.46
2020,OLINDA,VEREADOR,CARLOS EDUARDO SILVINO BATISTA,PDT,42,2,MASCULINO,PARDA,105385.98
2020,BREJINHO,VEREADOR,ANTONIO DE SOUZA LIMA,REPUBLICANOS,40,2,MASCULINO,PARDA,12307.75
2020,TRACUNHAÉM,VEREADOR,SIMONE BEZERRA DA SILVA,PDT,38,4,FEMININO,PRETA,12307.75
2020,INAJÁ,VEREADOR,GEDALVA MARIA DA SILVA,AVANTE,62,4,FEMININO,BRANCA,12307.75
2020,SÃO BENTO DO UNA,VEREADOR,TEREZINHA JOSEFA DE LIMA PONTES,PSB,72,4,FEMININO,PARDA,17226.56
2020,BEZERROS,VEREADOR,CICERO BEZERRA DA SILVA,PT,48,2,MASCULINO,PRETA,21247.87
2020,GLÓRIA DO GOITÁ,VEREADOR,JOÃO LOPES DE VASCONCELOS,PTB,64,2,MASCULINO,PARDA,12307.75
2020,GRAVATÁ,VEREADOR,SEBASTIÃO BEZERRA DA SILVA,PV,60,2,MASCULINO,PRETA,134612.46
2020,LIMOEIRO,VEREADOR,JULYANA KARLLA BARBOSA LEITE,PSB,36,4,FEMININO,BRANCA,27268.28
2020,SÃO LOURENÇO DA MATA,VEREADOR,ANDREA MARIA DA SILVA,SOLIDARIEDADE,45,4,FEMININO,PARDA,18021.21
2020,GRAVATÁ,VEREADOR,SILVANA OLIVEIRA DA SILVA,PV,32,4,FEMININO,BRANCA,134612.46
2020,OURICURI,VEREADOR,MARCOS JOSE RODRIGUES DA SILVA,PSB,27,2,MASCULINO,PARDA,26120.37
2020,SÃO JOÃO,VEREADOR,THIAGO DA SILVA MARQUES,PSD,24,2,MASCULINO,PARDA,12307.75
2020,ARARIPINA,VEREADOR,AURINETE SANTOS DE OLIVEIRA,AVANTE,49,4,FEMININO,PARDA,40319.73
2020,BOM CONSELHO,VEREADOR,JOSEFA ROSEANE GOMES DE SOUZA,PT,38,4,FEMININO,PARDA,25615.01
2020,CUMARU,VEREADOR,PAULO ROBERTO DA CRUZ SILVA,CIDADANIA,44,2,MASCULINO,PARDA,53114.85
